STN,LON,LAT,HT
90,128.56473,38.25085,17.53
93,127.75443,37.94738,95.78
95,127.3042,38.14787,155.48
98,127.0607,37.90188,115.62
99,126.76648,37.88589,30.59
100,128.71834,37.67713,772.43
101,127.7357,37.90262,75.82
102,124.71237,37.97396,36.0
104,128.85535,37.80456,75.24
105,128.89099,37.75147,27.12
106,129.12433,37.50709,40.46
108,126.9658,37.57142,85.67
112,126.6249,37.47772,68.99
114,127.94659,37.33749,150.11
115,130.89863,37.48129,221.14
119,126.983,37.25746,39.81
121,128.45743,37.18126,240.54
127,127.9525,36.97045,114.85
129,126.4939,36.77658,25.25
130,129.41278,36.99176,48.98
131,127.44066,36.63924,58.7
133,127.3721,36.37199,67.79
135,127.99458,36.22025,244.98
136,128.70733,36.57293,141.26
137,128.15741,36.40837,96.58
138,129.38002,36.03201,3.94
140,126.76135,36.0053,27.85
143,128.65296,35.87797,54.27
146,127.11718,35.84092,60.44
152,129.33469,35.58237,81.14
155,128.57282,35.17019,34.97
156,126.89156,35.17294,70.28
159,129.03203,35.10468,69.56
162,128.43561,34.84541,31.24
165,126.38151,34.81732,44.7
168,127.74063,34.73929,65.93
169,125.45105,34.68719,75.12
170,126.70182,34.3959,35.37
172,126.599,35.34824,52.42
174,127.3694,35.0204,165.0
177,126.68772,36.65759,27.74
181,127.38458,36.63994,33.55
184,126.52969,33.51411,20.79
185,126.16283,33.29382,71.39
188,126.8802,33.38677,20.34
189,126.5653,33.24616,51.86
192,128.04004,35.16378,29.35
201,126.44634,37.70739,47.84
202,127.49446,37.48863,47.26
203,127.48421,37.26399,80.09
211,128.16811,38.05991,202.0
212,127.88043,37.6836,140.2
216,128.98929,37.17038,714.45
217,128.67312,37.38071,312.0
221,128.19433,37.15928,264.62
226,127.73415,36.48761,171.31
232,127.29282,36.76217,84.78
235,126.55744,36.32724,9.98
236,126.92079,36.27242,13.42
238,127.48175,36.10563,170.17
239,127.24438,36.48522,89.5
243,126.71657,35.72961,12.2
244,127.28556,35.61203,247.04
245,126.83904,35.56337,68.7
247,127.39652,35.4213,133.49
248,127.52031,35.65696,406.87
251,126.69231,35.42346,50.0
252,126.47784,35.28366,37.2
253,128.89075,35.22981,54.59
254,127.1286,35.37131,129.38
255,128.6726,35.22655,50.95
257,129.02009,35.30737,6.29
258,127.21226,34.76335,1.41
259,126.78408,34.64457,16.19
260,126.91951,34.68886,43.99
261,126.56907,34.55375,16.36
262,127.27572,34.61826,51.91
263,128.28812,35.32258,14.1
264,127.74538,35.51138,152.07
266,127.6914,34.9434,88.21
268,126.25846,34.47296,9.82
271,128.91449,36.94361,324.67
272,128.51687,36.87183,211.32
273,128.14879,36.62727,173.01
276,129.04005,36.4351,208.65
277,129.40926,36.53337,40.71
278,128.68864,36.3561,81.44
279,128.32055,36.13055,49.17
281,128.9514,35.97742,96.12
283,129.2009,35.8174,40.13
284,127.9099,35.66739,228.45
285,128.16994,35.56505,26.72
288,128.74412,35.49147,8.31
289,127.8791,35.413,138.22
294,128.60459,34.88818,44.83
295,127.92641,34.81662,45.71
296,128.96024,35.21778,3.0
